№,shop,brand,model,length_cm,condition,orig_price,price,url
88,xtreme.ge,STOECKLI,Montero AX Orea Set,168,new,,6199.0,https://www.xtreme.ge/en/shop/montero-ax-orea-set-218967?page=9
89,xtreme.ge,ATOMIC,N BENT 85 S25,160,new,1499.0,1199.0,https://www.xtreme.ge/en/shop/n-bent-85-s25-103397?page=2
90,xtreme.ge,ATOMIC,N REDSTER J2 70-90,90,new,299.0,239.0,https://www.xtreme.ge/en/shop/n-redster-j2-70-90-103361
91,xtreme.ge,ATOMIC,N REDSTER J2 70-90 S25,90,new,419.0,339.0,https://www.xtreme.ge/en/shop/n-redster-j2-70-90-s25-103398?page=2
92,xtreme.ge,ATOMIC,NY REDSTER S9 FIS M  Icon 12 Set,165,new,,4729.0,https://www.xtreme.ge/en/shop/ny-redster-s9-fis-m-icon-12-set-218191?page=7
93,xtreme.ge,ATOMIC,NY REDSTER S9 FIS M  Icon 16 Set,165,new,,4999.0,https://www.xtreme.ge/en/shop/ny-redster-s9-fis-m-icon-16-set-218190?page=7
94,xtreme.ge,ATOMIC,NY REDSTER S9 FIS w  Icon 12 Set,157,new,,4445.0,https://www.xtreme.ge/en/shop/ny-redster-s9-fis-w-icon-12-set-218192?page=7
95,xtreme.ge,HEAD,OBLIVION 94 w/o binding,163,new,1169.0,939.0,https://www.xtreme.ge/en/shop/oblivion-94-w-o-binding-103426?page=3
96,xtreme.ge,HEAD,OBLIVION 94 w/o binding,170,new,1169.0,939.0,https://www.xtreme.ge/en/shop/oblivion-94-w-o-binding-103426?page=3
97,xtreme.ge,HEAD,Oblivion Team JRS SET,107,new,559.0,449.0,https://www.xtreme.ge/en/shop/oblivion-team-jrs-set-103460?page=3
98,xtreme.ge,STOECKLI,Orea SC Set,176,new,,5999.0,https://www.xtreme.ge/en/shop/orea-sc-set-218960?page=8
99,xtreme.ge,HEAD,Paw Patrol JRS SET,97,new,719.0,579.0,https://www.xtreme.ge/en/shop/paw-patrol-jrs-set-103433?page=3
100,xtreme.ge,ATOMIC,PM REDSTER Q4  M 10 GW Gy/BLA,161,new,,2229.0,https://www.xtreme.ge/en/shop/pm-redster-q4-m-10-gw-gy-bla-218151?page=7
101,xtreme.ge,ATOMIC,PM REDSTER RX ERA + M 10 GW S25,149,new,1459.0,1169.0,https://www.xtreme.ge/en/shop/pm-redster-rx-era-m-10-gw-s25-103401?page=2
102,xtreme.ge,ATOMIC,PM REDSTER RX ERA + M 10 GW S25,156,new,1459.0,1169.0,https://www.xtreme.ge/en/shop/pm-redster-rx-era-m-10-gw-s25-103401?page=2
103,xtreme.ge,HEAD,PORSCHE 7 SERIES SW SF-PR SET,170,new,3999.0,3199.0,https://www.xtreme.ge/en/shop/porsche-7-series-sw-sf-pr-set-103368
104,xtreme.ge,HEAD,PORSCHE 8 SERIES SW SF-PR SET,170,new,3999.0,3199.0,https://www.xtreme.ge/en/shop/porsche-8-series-sw-sf-pr-set-103369
105,xtreme.ge,Hagan,PURE87,176,new,1679.0,1339.0,https://www.xtreme.ge/en/shop/pure87-103351
106,xtreme.ge,HEAD,RazzleDazzle SET,94,new,1139.0,909.0,https://www.xtreme.ge/en/shop/razzledazzle-set-103425?page=3
107,xtreme.ge,ATOMIC,REDSTER G8 REVOSHOCK C  I 12 GW,155,new,,3485.0,https://www.xtreme.ge/en/shop/redster-g8-revoshock-c-i-12-gw-218175?page=7
108,xtreme.ge,ATOMIC,REDSTER G8 REVOSHOCK C  I 12 GW,162,new,,3485.0,https://www.xtreme.ge/en/shop/redster-g8-revoshock-c-i-12-gw-218175?page=7
109,xtreme.ge,ATOMIC,REDSTER G8 REVOSHOCK C  I 12 GW,167,new,,3485.0,https://www.xtreme.ge/en/shop/redster-g8-revoshock-c-i-12-gw-218175?page=7
110,xtreme.ge,ATOMIC,REDSTER G8 REVOSHOCK C  I 12 GW,174,new,,3485.0,https://www.xtreme.ge/en/shop/redster-g8-revoshock-c-i-12-gw-218175?page=7
111,xtreme.ge,ATOMIC,REDSTER J2 100-120 Red,100,new,469.0,379.0,https://www.xtreme.ge/en/shop/redster-j2-100-120-red-103386?page=2
112,xtreme.ge,ATOMIC,REDSTER J2 100-120 Red,110,new,469.0,379.0,https://www.xtreme.ge/en/shop/redster-j2-100-120-red-103386?page=2
113,xtreme.ge,ATOMIC,REDSTER J2 70-90 Red,90,new,389.0,309.0,https://www.xtreme.ge/en/shop/redster-j2-70-90-red-103388?page=2
114,xtreme.ge,ATOMIC,REDSTER Q4  M 10 GW S26,154,new,,2229.0,https://www.xtreme.ge/en/shop/redster-q4-m-10-gw-s26-218153?page=7
115,xtreme.ge,ATOMIC,REDSTER Q4  M 10 GW S26,161,new,,2229.0,https://www.xtreme.ge/en/shop/redster-q4-m-10-gw-s26-218153?page=7
116,xtreme.ge,ATOMIC,REDSTER Q4  M 10 GW S26,169,new,,2229.0,https://www.xtreme.ge/en/shop/redster-q4-m-10-gw-s26-218153?page=7
117,xtreme.ge,ATOMIC,REDSTER Q7 REVOSHOCK C  MI 12 GW,160,new,,3149.0,https://www.xtreme.ge/en/shop/redster-q7-revoshock-c-mi-12-gw-218184?page=7
118,xtreme.ge,ATOMIC,REDSTER Q7 REVOSHOCK C  MI 12 GW,168,new,,3149.0,https://www.xtreme.ge/en/shop/redster-q7-revoshock-c-mi-12-gw-218184?page=7
119,xtreme.ge,ATOMIC,REDSTER Q7 REVOSHOCK C  MI 12 GW,176,new,,3149.0,https://www.xtreme.ge/en/shop/redster-q7-revoshock-c-mi-12-gw-218184?page=7
120,xtreme.ge,ATOMIC,REDSTER Q9.8 REVOSHOCK S  I 12 GW,166,new,,3759.0,https://www.xtreme.ge/en/shop/redster-q9-8-revoshock-s-i-12-gw-218182?page=7
121,xtreme.ge,ATOMIC,REDSTER S9 REVOSHOCK S I 12 GW,155,new,,4079.0,https://www.xtreme.ge/en/shop/redster-s9-revoshock-s-i-12-gw-218172?page=7
122,xtreme.ge,ATOMIC,REDSTER S9 REVOSHOCK S + X 12 GW,160,new,3579.0,2859.0,https://www.xtreme.ge/en/shop/redster-s9-revoshock-s-x-12-gw-103404?page=2
123,xtreme.ge,ATOMIC,REDSTER X7 REVOSHOCK C  MI 12 GW,161,new,,3219.0,https://www.xtreme.ge/en/shop/redster-x7-revoshock-c-mi-12-gw-218179?page=7
124,xtreme.ge,ATOMIC,REDSTER X7 REVOSHOCK C  MI 12 GW,168,new,,3219.0,https://www.xtreme.ge/en/shop/redster-x7-revoshock-c-mi-12-gw-218179?page=7
125,xtreme.ge,ATOMIC,REDSTER X7 REVOSHOCK C  MI 12 GW,175,new,,3219.0,https://www.xtreme.ge/en/shop/redster-x7-revoshock-c-mi-12-gw-218179?page=7
126,xtreme.ge,ARMADA,RELIANCE 82 Ti,158,new,2799.0,2239.0,https://www.xtreme.ge/en/shop/reliance-82-ti-103519?page=5
127,xtreme.ge,HEAD,Shape Black Edition SW LYT-PR Set,149,new,,1799.0,https://www.xtreme.ge/en/shop/shape-black-edition-sw-lyt-pr-set-215337?page=6
128,xtreme.ge,HEAD,Shape Black Edition SW LYT-PR Set,156,new,,1799.0,https://www.xtreme.ge/en/shop/shape-black-edition-sw-lyt-pr-set-215337?page=6
